location,longitude,latitude,NDVI_Landsat_mean,NDVI_Landsat_std,NDVI_texture,NIR,Red,SWOIR1,SWOIR2,TPI,aspect,brightness,current_NDVI,elevation,slope,pca_feature_1,pca_feature_2,pca_feature_3,pca_feature_4,pca_feature_5
namibia,16.07086043289824,-24.982148051363893,0.0524854846298694,0.0184628586400328,0.0097536241453976,2660.2,2298.3333333333335,3146.6666666666665,2910.666666666667,0,330.0439453125,2479.2666666666664,0.0729785710573196,1034,1.120537519454956,0.006857343757044633,-2.704158645111935,0.847327678438558,-0.22942854129902573,-0.563530095699377
namibia,15.909163681756729,-24.964181745681504,0.0764409676194191,0.0079200129910414,0.0095335969616641,4246.0,3502.0,5294.5,4896.0,0,293.7647705078125,3874.0,0.0960247814655304,1038,0.6113298535346985,3.6689925385942774,-1.2958163113082997,0.6882764803740196,-1.0341292567792286,0.8855344482748165
namibia,15.927129987439116,-24.964181745681504,0.0769099667668342,0.0071582296405961,0.0084471455219258,4292.0,3526.4,5419.0,5017.666666666667,0,336.8420715332031,3909.2,0.0979228466749191,1083,1.5443103313446045,3.958724616748118,-1.758818358514496,1.16789076273323,-0.20753371472467036,0.8296707053601398
namibia,15.945096293121509,-24.964181745681504,0.0771805718541145,0.0086418820595008,0.0096617643433849,4301.0,3530.5,5474.666666666667,5069.0,0,19.73996353149414,3915.75,0.0983847305178642,1076,1.2777256965637207,4.134743473093226,-1.0507092310227923,-1.4275063597916602,0.18349838529283086,0.7791195539458721
namibia,15.963062598803898,-24.964181745681504,0.076912797987461,0.0085890013492634,0.0097683172945381,4258.333333333333,3506.5,5425.0,5035.0,0,57.841270446777344,3882.4166666666665,0.0968254283070564,1056,1.1705999374389648,4.006473164702302,-1.0768418092328331,-1.136997423297655,-0.0025413550368601286,0.7579123904389246
namibia,15.981028904486289,-24.964181745681504,0.0764745324850082,0.0106078642888603,0.0097288394355513,4250.5,3516.0,5437.0,5108.2,0,84.45231628417969,3883.25,0.0945728421211242,1014,1.3489058017730713,4.036708306275418,-1.0796932862757636,-0.8734601500706175,0.11413125424572493,0.625420811063681
namibia,15.998995210168678,-24.964181745681504,0.0678705647587776,0.0140806081129649,0.0090139548400953,3672.090909090909,3130.4285714285716,4454.5,4213.857142857143,0,95.39450073242188,3401.2597402597403,0.0796267241239547,972,0.7707018852233887,2.497583398703202,-1.3239222287188697,-0.9539729783197897,-0.3612381547591469,0.13374017120882029
namibia,16.01696151585107,-24.964181745681504,0.0556784309446811,0.0133393919849852,0.0081774658287624,2812.0,2418.6,3376.770833333333,3115.0,0,299.5353088378906,2615.3,0.0752112567424774,966,0.1469898521900177,0.23601014924133598,-2.156748597145148,0.47580040656714834,-1.2139193432148976,-0.20249525793647463
namibia,16.034927821533458,-24.964181745681504,0.0594286173582077,0.0141943005764669,0.0074986388414125,2889.0,2460.8,3668.0,3422.0,0,296.7312927246094,2674.9,0.0800403729081153,980,0.4832639992237091,0.6089636359968552,-2.107927048221224,0.5512369147002908,-0.8684645882672848,-0.16573239709637377
namibia,16.05289412721585,-24.964181745681504,0.0554814264178276,0.0133041629866899,0.0081920712105053,2861.375,2456.75,3526.5,3267.0,0,305.9507751464844,2659.0625,0.0760841444134712,993,0.5924079418182373,0.49348984025653037,-2.3210489969671837,0.594491669473852,-0.806325884324474,-0.21375307618561268
namibia,16.07086043289824,-24.964181745681504,0.0656596571207046,0.0192186495760272,0.0097385742760157,3784.25,3260.3333333333335,4359.0,4081.3333333333335,0,302.39825439453125,3522.291666666667,0.0743715614080429,1010,0.7572840452194214,2.5058976014063408,-1.6321261766605661,0.7368109498059362,-0.7757572125700897,0.05088885977456209
